matricula;marca;modelo;precio;descuento;localizacion;tipo;kilometros;fecha matriculacion;potencia;garantia;puertas;cambio;imagen;descripcion
7762mzu;hyhundai;sonata;5646.81;74.31;alaba;turismo;435422;2004-03-24;94;10 meses;2 puertas;manual;coche/cocherojo.jpg;mzu estas con las letras de mi matricula
0992ehf;ford;tourne;2376.13;52.55;soria;sedan;487448;2013-08-05;114;20 meses;3 puertas;manual;coche/cochenegro.jpg;ehf estas con las letras de mi matricula
2490ndh;chevrolet;captiva;969.41;38.57;cordoba;turismo;261500;1997-01-25;167;8 meses;3 puertas;manual;coche/cochenegro.jpg;ndh estas con las letras de mi matricula
4347mnw;ford;focus;9295.52;22.59;ceuta;turismo;89631;1984-10-19;124;30 meses;3 puertas;manual;coche/cocherojo.jpg;mnw estas con las letras de mi matricula
7999snx;renault;megane;7941.1;27.03;guipuzcoa;turismo;402136;1995-07-19;200;2 meses;5 puertas;manual;coche/cochenegro.jpg;snx estas con las letras de mi matricula
3004bjr;ford;custom;6725.45;78.76;huelva;descapotable;154156;2009-10-22;154;30 meses;4 puertas;manual;coche/cochenegro.jpg;bjr estas con las letras de mi matricula
9062lfb;kia;picanto;8210.09;57.25;cuenca;sedan;292136;1984-05-22;25;22 meses;3 puertas;manual;coche/cochemarron.jpg;lfb estas con las letras de mi matricula
1182rcs;ford;mondeo;7737.51;42.56;huelva;descapotable;95599;1971-03-05;61;12 meses;2 puertas;automatico;coche/cocherojo.jpg;rcs estas con las letras de mi matricula
7917cun;porsche;spyder;1232.27;1.75;cadiz;turismo;27055;1999-12-13;198;14 meses;2 puertas;manual;coche/cochegranate.jpg;cun estas con las letras de mi matricula
0789hlk;lexus;ls;9551.85;50.61;santa cruz de tenerife;descapotable;138922;1973-08-16;21;24 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;hlk estas con las letras de mi matricula
8957fpm;kia;sportage;1527.02;71.5;segovia;descapotable;457466;1998-02-24;83;2 meses;4 puertas;automatico;coche/cocherojo.jpg;fpm estas con las letras de mi matricula
0829xja;chevrolet;cruze;7739.8;55.79;avila;turismo;336230;1992-06-14;40;16 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;xja estas con las letras de mi matricula
8327xmc;bmw;serie 5;3072.63;25.12;salamanca;descapotable;144672;2016-08-31;62;30 meses;3 puertas;automatico;coche/cocherojo.jpg;xmc estas con las letras de mi matricula
6165koq;citroen;c3;7089.49;22.24;madrid;descapotable;463913;1986-11-14;103;12 meses;2 puertas;automatico;coche/cochenegro.jpg;koq estas con las letras de mi matricula
5869xuw;bmw;serie 1;9331.22;14.85;zamora;descapotable;120182;2012-06-18;127;18 meses;5 puertas;manual;coche/cochenaranja.jpg;xuw estas con las letras de mi matricula
6256txb;citroen;c3;6867.8;4.53;ourense;turismo;422279;1992-09-15;200;20 meses;2 puertas;manual;coche/cocheturquesa.jpeg;txb estas con las letras de mi matricula
2764ics;chevrolet;corvette;458.82;59.86;castellon;descapotable;86095;1981-08-26;139;10 meses;3 puertas;automatico;coche/cochegranate.jpg;ics estas con las letras de mi matricula
0974qxj;honda;cr-v;2877.81;66.38;huesca;turismo;456163;1980-12-15;23;22 meses;3 puertas;automatico;coche/cocherojo.jpg;qxj estas con las letras de mi matricula
5337uvj;hyhundai;elantra;8315.07;5.81;las palmas;descapotable;73000;1999-11-01;1;2 meses;2 puertas;manual;coche/cochenaranja.jpg;uvj estas con las letras de mi matricula
4228fte;honda;jazz;388.85;51.39;guipuzcoa;sedan;453867;2002-02-11;170;12 meses;3 puertas;manual;coche/cochenegro.jpg;fte estas con las letras de mi matricula
0931mes;seat;cordoba;6806.55;14.17;vizcaya;descapotable;266295;1985-11-14;70;20 meses;5 puertas;automatico;coche/cocherojo.jpg;mes estas con las letras de mi matricula
1198oyd;renault;megane;121.05;97.18;huelva;turismo;189075;1996-12-05;150;24 meses;3 puertas;automatico;coche/cochenaranja.jpg;oyd estas con las letras de mi matricula
5080cyn;lexus;rx;4665.68;85.1;valencia;turismo;139063;1984-07-17;92;22 meses;4 puertas;manual;coche/cochemarron.jpg;cyn estas con las letras de mi matricula
4955ydm;citroen;c4;1884.33;96.34;pontevedra;sedan;253156;2016-09-16;133;4 meses;2 puertas;automatico;coche/cochegranate.jpg;ydm estas con las letras de mi matricula
2275jey;ford;custom;5617.47;20.06;badajoz;descapotable;112129;1992-09-01;173;10 meses;3 puertas;automatico;coche/cochenaranja.jpg;jey estas con las letras de mi matricula
0531zwa;ford;mondeo;4103.38;33.89;almeria;descapotable;66388;1984-09-12;155;20 meses;5 puertas;manual;coche/cochenaranja.jpg;zwa estas con las letras de mi matricula
5085ork;mercedes;vito;3150.58;94.16;cordoba;turismo;196260;2005-10-10;196;22 meses;3 puertas;manual;coche/cocherojo.jpg;ork estas con las letras de mi matricula
5047xja;lexus;ls;2039.8;93.01;navarra;sedan;11618;1988-08-25;191;6 meses;5 puertas;manual;coche/cochegranate.jpg;xja estas con las letras de mi matricula
2006ale;audi;a4;9953.42;38.78;la rioja;descapotable;427592;1996-10-30;80;8 meses;4 puertas;manual;coche/cochemarron.jpg;ale estas con las letras de mi matricula
3592asw;ford;focus;1650.36;19.02;alaba;descapotable;351806;1995-06-10;53;28 meses;3 puertas;manual;coche/cocherojo.jpg;asw estas con las letras de mi matricula
0851wkq;mercedes;vito;7633.78;39.41;pontevedra;turismo;43983;2011-03-05;38;4 meses;2 puertas;automatico;coche/cochemarron.jpg;wkq estas con las letras de mi matricula
8054nce;citroen;c3;4306.17;94.19;salamanca;turismo;478171;2006-05-11;158;10 meses;4 puertas;automatico;coche/cochenegro.jpg;nce estas con las letras de mi matricula
2772ogl;mercedes;vito;859.52;41.86;huesca;descapotable;220872;1989-04-30;180;8 meses;5 puertas;manual;coche/cochenaranja.jpg;ogl estas con las letras de mi matricula
6682pqm;chevrolet;cruze;4652.53;44.12;cordoba;turismo;158420;1995-02-12;97;30 meses;4 puertas;manual;coche/cochenaranja.jpg;pqm estas con las letras de mi matricula
6131zey;hyhundai;genesis;5327.37;68.75;ourense;descapotable;136472;2004-03-01;185;4 meses;5 puertas;manual;coche/cochenegro.jpg;zey estas con las letras de mi matricula
4091dld;hyhundai;elantra;8276.72;38.31;almeria;turismo;154057;2006-10-01;123;14 meses;5 puertas;manual;coche/cocheturquesa.jpeg;dld estas con las letras de mi matricula
8363hlr;chevrolet;corvette;2352.84;1.8;badajoz;turismo;377999;2013-06-21;138;18 meses;3 puertas;manual;coche/cochenegro.jpg;hlr estas con las letras de mi matricula
6928uby;renault;captur;1244.16;43.45;vizcaya;turismo;297251;1999-06-03;53;18 meses;3 puertas;automatico;coche/cochenaranja.jpg;uby estas con las letras de mi matricula
1869ttx;honda;hr-v;4601.42;17.85;las palmas;descapotable;297593;1982-08-18;161;18 meses;4 puertas;manual;coche/cochegranate.jpg;ttx estas con las letras de mi matricula
7547hav;chevrolet;camaro;8209.34;20.76;huesca;turismo;324815;2010-06-03;69;4 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;hav estas con las letras de mi matricula
9331agq;audi;a6;5872.03;25.42;vizcaya;descapotable;212383;2014-03-30;89;4 meses;4 puertas;manual;coche/cochemarron.jpg;agq estas con las letras de mi matricula
5003zdm;chevrolet;corvette;6593.18;26.9;almeria;descapotable;48296;1994-08-25;16;24 meses;3 puertas;automatico;coche/cochemarron.jpg;zdm estas con las letras de mi matricula
8566cic;citroen;berlingo;3654.86;0.5;salamanca;descapotable;306482;1995-12-04;71;8 meses;5 puertas;manual;coche/cochenaranja.jpg;cic estas con las letras de mi matricula
1356bqe;porsche;spyder;1737.0;39.94;guadalajara;sedan;26132;1999-12-04;167;8 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;bqe estas con las letras de mi matricula
1708svu;ford;tourne;1710.89;10.43;caceres;sedan;81369;2001-12-10;169;8 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;svu estas con las letras de mi matricula
7730kps;ford;focus;2995.05;53.9;valladolid;turismo;441686;1998-03-12;79;14 meses;4 puertas;manual;coche/cochenaranja.jpg;kps estas con las letras de mi matricula
9184jvg;ford;tourne;8609.19;40.5;leon;descapotable;55184;1995-09-13;157;8 meses;5 puertas;manual;coche/cochegranate.jpg;jvg estas con las letras de mi matricula
4167ido;kia;sportage;6824.72;84.8;guadalajara;descapotable;27176;1998-04-21;48;2 meses;5 puertas;manual;coche/cocherojo.jpg;ido estas con las letras de mi matricula
9744otp;ford;tourne;39.61;97.52;cadiz;turismo;380017;1998-10-07;106;4 meses;3 puertas;automatico;coche/cochemarron.jpg;otp estas con las letras de mi matricula
7117psl;audi;a4;591.85;38.6;ciudad real;descapotable;151433;1988-08-18;91;4 meses;3 puertas;automatico;coche/cochenegro.jpg;psl estas con las letras de mi matricula
0067wza;bmw;serie 3;2274.76;59.23;melilla;descapotable;219912;2002-05-07;142;6 meses;5 puertas;automatico;coche/cochegranate.jpg;wza estas con las letras de mi matricula
9124gne;ford;mondeo;7547.52;43.43;cordoba;descapotable;455250;2010-08-03;71;2 meses;3 puertas;manual;coche/cochemarron.jpg;gne estas con las letras de mi matricula
6469eom;lexus;rx;1048.11;12.16;las palmas;turismo;148801;1971-12-30;34;12 meses;4 puertas;manual;coche/cochenegro.jpg;eom estas con las letras de mi matricula
8719gci;cadillac;ats;2171.77;24.95;leon;sedan;318976;2009-12-10;191;24 meses;4 puertas;automatico;coche/cochenaranja.jpg;gci estas con las letras de mi matricula
5216wsc;mercedes;clase c;4213.15;19.32;vizcaya;descapotable;227933;1984-09-13;157;12 meses;4 puertas;automatico;coche/cochemarron.jpg;wsc estas con las letras de mi matricula
5926wyx;chevrolet;aveo;9994.76;26.58;girona;descapotable;428109;2019-03-28;173;10 meses;2 puertas;automatico;coche/cochenegro.jpg;wyx estas con las letras de mi matricula
7440sgq;fiat;panda;8894.13;71.51;avila;sedan;332425;1994-07-14;64;16 meses;5 puertas;manual;coche/cochemarron.jpg;sgq estas con las letras de mi matricula
8731jap;mercedes;clase a;73.99;78.29;leon;descapotable;133657;1977-07-25;68;10 meses;5 puertas;automatico;coche/cochemarron.jpg;jap estas con las letras de mi matricula
8940ryt;ford;fiesta;8061.89;3.47;tarragona;turismo;153390;1987-01-15;59;6 meses;5 puertas;automatico;coche/cocherojo.jpg;ryt estas con las letras de mi matricula
3958hfr;fiat;panda;6955.71;74.86;valladolid;sedan;372749;1979-11-29;105;4 meses;5 puertas;automatico;coche/cochenegro.jpg;hfr estas con las letras de mi matricula
4033hqx;ford;focus;9983.54;67.33;navarra;descapotable;127227;2020-06-17;53;12 meses;4 puertas;manual;coche/cochenaranja.jpg;hqx estas con las letras de mi matricula
5362ana;mercedes;clase c;1444.78;92.95;burgos;descapotable;124537;1999-01-10;114;22 meses;4 puertas;automatico;coche/cochenaranja.jpg;ana estas con las letras de mi matricula
0234pto;citroen;berlingo;4796.76;28.81;zamora;descapotable;149763;2012-03-25;71;2 meses;5 puertas;automatico;coche/cochemarron.jpg;pto estas con las letras de mi matricula
7212eae;chevrolet;corvette;1402.83;21.31;girona;turismo;201760;1975-09-21;161;2 meses;4 puertas;manual;coche/cochemarron.jpg;eae estas con las letras de mi matricula
0556udh;mercedes;clase c;8945.96;15.99;tarragona;turismo;384661;2008-04-24;76;10 meses;2 puertas;automatico;coche/cochenaranja.jpg;udh estas con las letras de mi matricula
8954hgm;citroen;berlingo;9500.49;22.75;caceres;descapotable;224036;2016-02-16;56;24 meses;4 puertas;manual;coche/cocheturquesa.jpeg;hgm estas con las letras de mi matricula
3522pkh;chevrolet;aveo;1117.3;57.71;barcelona;sedan;413057;1982-01-19;183;18 meses;3 puertas;manual;coche/cochegranate.jpg;pkh estas con las letras de mi matricula
8999qsv;chevrolet;aveo;5651.0;9.35;guipuzcoa;sedan;409191;1997-09-11;185;28 meses;5 puertas;automatico;coche/cochenaranja.jpg;qsv estas con las letras de mi matricula
8825xzk;audi;a4;1126.78;99.7;guadalajara;turismo;233554;2002-04-09;26;4 meses;2 puertas;manual;coche/cochemarron.jpg;xzk estas con las letras de mi matricula
9847wrk;chevrolet;corvette;3885.13;78.32;caceres;descapotable;50364;1995-03-23;16;18 meses;2 puertas;automatico;coche/cocheturquesa.jpeg;wrk estas con las letras de mi matricula
2137yzz;bmw;serie 1;680.43;91.29;granada;descapotable;307295;1999-02-06;171;14 meses;2 puertas;automatico;coche/cocherojo.jpg;yzz estas con las letras de mi matricula
5689yze;citroen;berlingo;6623.59;56.7;palencia;turismo;48833;1990-08-09;53;12 meses;5 puertas;manual;coche/cochenaranja.jpg;yze estas con las letras de mi matricula
6941blx;renault;captur;5596.02;37.35;murcia;descapotable;398433;1980-01-21;133;30 meses;3 puertas;manual;coche/cochegranate.jpg;blx estas con las letras de mi matricula
1606vll;land rover;discovery;3592.85;20.51;granada;sedan;65970;1979-01-11;90;6 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;vll estas con las letras de mi matricula
4192jfx;renault;megane;8132.7;72.44;caceres;turismo;217807;1988-04-06;128;16 meses;4 puertas;manual;coche/cochenegro.jpg;jfx estas con las letras de mi matricula
3756azg;lexus;ns;9128.14;77.95;alicante;descapotable;84493;2015-04-22;144;2 meses;4 puertas;manual;coche/cochegranate.jpg;azg estas con las letras de mi matricula
5633mfd;lexus;ls;1028.92;81.71;ciudad real;descapotable;134185;2000-04-25;104;20 meses;3 puertas;manual;coche/cochenaranja.jpg;mfd estas con las letras de mi matricula
2380zyp;honda;cr-v;4287.06;42.37;madrid;descapotable;201076;2000-05-02;63;28 meses;4 puertas;manual;coche/cochemarron.jpg;zyp estas con las letras de mi matricula
5706uku;hyhundai;bayon;3349.01;90.7;zaragoza;turismo;495756;1984-01-27;176;2 meses;3 puertas;manual;coche/cochenaranja.jpg;uku estas con las letras de mi matricula
5916dli;fiat;doblo;7056.53;76.93;segovia;descapotable;123726;2006-04-09;96;4 meses;4 puertas;automatico;coche/cochemarron.jpg;dli estas con las letras de mi matricula
5944web;seat;cordoba;3128.07;2.75;zaragoza;turismo;485049;1990-12-08;16;20 meses;2 puertas;automatico;coche/cochenegro.jpg;web estas con las letras de mi matricula
5215saz;hyhundai;sonata;8679.14;85.95;navarra;turismo;358407;1974-05-27;151;20 meses;2 puertas;manual;coche/cocheturquesa.jpeg;saz estas con las letras de mi matricula
8223ote;ford;mondeo;4208.14;82.83;soria;descapotable;358314;2017-03-20;195;20 meses;3 puertas;manual;coche/cochenegro.jpg;ote estas con las letras de mi matricula
1148mwx;honda;hr-v;8622.31;54.04;avila;descapotable;115278;2005-08-09;189;4 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;mwx estas con las letras de mi matricula
0446fhu;audi;q5;7535.81;92.38;badajoz;descapotable;483669;2012-08-06;106;6 meses;4 puertas;manual;coche/cochemarron.jpg;fhu estas con las letras de mi matricula
6299lag;land rover;defender;3042.22;11.66;vizcaya;descapotable;450311;2019-12-27;163;6 meses;5 puertas;automatico;coche/cochenaranja.jpg;lag estas con las letras de mi matricula
2008dya;chevrolet;cruze;6410.91;23.27;ciudad real;sedan;493330;1997-03-20;146;24 meses;2 puertas;manual;coche/cochegranate.jpg;dya estas con las letras de mi matricula
0238imd;lexus;ls;4014.93;89.46;guadalajara;sedan;380956;1991-10-15;51;2 meses;4 puertas;automatico;coche/cochemarron.jpg;imd estas con las letras de mi matricula
0810uuj;ford;mondeo;2030.55;69.41;cantabria;descapotable;194407;1983-04-02;29;22 meses;2 puertas;automatico;coche/cocheturquesa.jpeg;uuj estas con las letras de mi matricula
7731zsk;kia;rio;1646.85;44.88;leon;turismo;18630;1999-05-07;148;20 meses;5 puertas;automatico;coche/cochemarron.jpg;zsk estas con las letras de mi matricula
5362bnt;mercedes;clase c;9980.62;17.09;cordoba;descapotable;81147;2000-02-24;175;8 meses;3 puertas;automatico;coche/cochenaranja.jpg;bnt estas con las letras de mi matricula
2433ekj;kia;picanto;6174.43;99.99;lleida;descapotable;492983;1979-11-04;36;4 meses;5 puertas;manual;coche/cochemarron.jpg;ekj estas con las letras de mi matricula
8094php;lexus;ns;9145.42;68.56;burgos;sedan;391429;2004-03-31;13;18 meses;4 puertas;manual;coche/cocheturquesa.jpeg;php estas con las letras de mi matricula
9754zey;cadillac;ats;6562.2;70.03;huesca;descapotable;451033;2007-12-13;27;24 meses;5 puertas;automatico;coche/cochenegro.jpg;zey estas con las letras de mi matricula
0107wfm;ford;mondeo;2465.71;82.55;alicante;turismo;163602;1975-12-21;107;28 meses;3 puertas;automatico;coche/cochemarron.jpg;wfm estas con las letras de mi matricula
6525gop;hyhundai;genesis;146.84;54.57;vizcaya;sedan;488567;1991-12-07;178;2 meses;3 puertas;automatico;coche/cochenegro.jpg;gop estas con las letras de mi matricula
6174xnp;lexus;ns;1567.8;33.23;zaragoza;sedan;31525;2002-08-29;170;14 meses;2 puertas;automatico;coche/cochemarron.jpg;xnp estas con las letras de mi matricula
6257tce;honda;jazz;9618.83;50.55;santa cruz de tenerife;descapotable;398531;2004-07-30;159;2 meses;2 puertas;automatico;coche/cochemarron.jpg;tce estas con las letras de mi matricula
3946irj;cadillac;escalade;3545.97;79.18;pontevedra;sedan;61326;1988-01-13;137;8 meses;3 puertas;manual;coche/cocherojo.jpg;irj estas con las letras de mi matricula
2899fnu;bmw;serie 3;6650.27;95.58;huesca;sedan;83865;2010-11-24;28;2 meses;2 puertas;automatico;coche/cochemarron.jpg;fnu estas con las letras de mi matricula
2457dok;hyhundai;bayon;3746.2;8.83;huelva;descapotable;336898;1976-06-13;50;2 meses;5 puertas;manual;coche/cocherojo.jpg;dok estas con las letras de mi matricula
4285xtv;fiat;500;6148.17;90.21;palencia;sedan;452346;1976-08-04;178;12 meses;3 puertas;automatico;coche/cochemarron.jpg;xtv estas con las letras de mi matricula
0288umq;hyhundai;elantra;6973.92;11.55;ciudad real;sedan;274118;1992-02-09;130;4 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;umq estas con las letras de mi matricula
5706izv;ford;tourne;1080.89;3.06;pontevedra;sedan;332291;1970-10-01;156;2 meses;5 puertas;automatico;coche/cocherojo.jpg;izv estas con las letras de mi matricula
4067dqq;fiat;tipo;6429.92;27.68;badajoz;turismo;420651;1984-03-26;200;8 meses;3 puertas;manual;coche/cochenaranja.jpg;dqq estas con las letras de mi matricula
2842xxi;seat;cordoba;2371.38;36.92;barcelona;descapotable;399611;1978-07-22;17;10 meses;2 puertas;automatico;coche/cochenaranja.jpg;xxi estas con las letras de mi matricula
8825eqi;kia;picanto;498.31;51.09;murcia;turismo;30891;2008-08-21;155;4 meses;2 puertas;manual;coche/cochenaranja.jpg;eqi estas con las letras de mi matricula
9970kqt;lexus;ls;5869.26;3.37;castellon;descapotable;390051;1993-09-25;75;24 meses;5 puertas;automatico;coche/cochegranate.jpg;kqt estas con las letras de mi matricula
4414wye;honda;jazz;5558.29;31.58;alicante;turismo;10964;1997-04-06;33;6 meses;4 puertas;automatico;coche/cochenaranja.jpg;wye estas con las letras de mi matricula
2760gff;mercedes;clase a;2612.68;74.98;palencia;descapotable;443193;2002-04-29;152;6 meses;5 puertas;manual;coche/cochegranate.jpg;gff estas con las letras de mi matricula
7106ugx;mercedes;vito;1079.12;47.47;salamanca;sedan;396596;2016-03-16;140;2 meses;5 puertas;manual;coche/cocherojo.jpg;ugx estas con las letras de mi matricula
8499pcf;bmw;serie 1;5650.93;71.84;la rioja;turismo;46601;2005-02-12;125;8 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;pcf estas con las letras de mi matricula
1415rci;ford;mondeo;8191.03;1.02;navarra;turismo;287158;1995-08-02;113;2 meses;4 puertas;manual;coche/cochenegro.jpg;rci estas con las letras de mi matricula
4562oae;ford;fiesta;6616.76;2.9;ourense;descapotable;196687;1992-06-07;196;10 meses;2 puertas;manual;coche/cochenegro.jpg;oae estas con las letras de mi matricula
7216nle;renault;captur;2562.66;41.12;murcia;turismo;406346;1999-10-26;56;30 meses;3 puertas;automatico;coche/cocherojo.jpg;nle estas con las letras de mi matricula
4712uao;kia;rio;9210.62;46.8;albacete;descapotable;498513;1994-12-12;64;14 meses;3 puertas;manual;coche/cocheturquesa.jpeg;uao estas con las letras de mi matricula
6252pqp;audi;a3;131.89;61.21;jaen;sedan;397417;1975-06-27;106;14 meses;5 puertas;manual;coche/cocherojo.jpg;pqp estas con las letras de mi matricula
2657kva;chevrolet;aveo;1486.69;69.32;segovia;turismo;394370;2006-11-08;115;2 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;kva estas con las letras de mi matricula
0233mim;ford;fiesta;944.06;52.68;granada;descapotable;369374;1984-08-19;15;18 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;mim estas con las letras de mi matricula
8956mgb;fiat;500;1345.91;54.15;zaragoza;turismo;451287;2002-06-04;111;6 meses;4 puertas;manual;coche/cochegranate.jpg;mgb estas con las letras de mi matricula
2449idz;kia;picanto;4466.39;47.96;huesca;sedan;82560;1984-09-24;132;12 meses;3 puertas;automatico;coche/cochemarron.jpg;idz estas con las letras de mi matricula
5811kol;audi;q5;9229.42;24.82;lugo;turismo;181911;1999-03-27;152;8 meses;5 puertas;manual;coche/cochemarron.jpg;kol estas con las letras de mi matricula
9021vox;lexus;ns;8802.56;81.57;alaba;sedan;330680;1995-01-25;57;22 meses;3 puertas;automatico;coche/cocheturquesa.jpeg;vox estas con las letras de mi matricula
8806nej;honda;cr-v;4359.23;72.82;zamora;sedan;498668;2012-09-12;37;28 meses;2 puertas;manual;coche/cocherojo.jpg;nej estas con las letras de mi matricula
6556tnh;fiat;tipo;4114.99;55.8;tarragona;turismo;366697;2021-09-02;173;22 meses;4 puertas;automatico;coche/cocherojo.jpg;tnh estas con las letras de mi matricula
1782iss;ford;tourne;1123.43;17.33;tarragona;sedan;4774;2002-09-14;124;6 meses;3 puertas;manual;coche/cocherojo.jpg;iss estas con las letras de mi matricula
9940rpd;ford;mondeo;6503.86;5.13;ciudad real;descapotable;59157;2001-04-11;37;22 meses;5 puertas;automatico;coche/cocheturquesa.jpeg;rpd estas con las letras de mi matricula
9851nvb;citroen;berlingo;6137.91;62.39;sevilla;turismo;240888;1971-07-05;151;14 meses;2 puertas;manual;coche/cocherojo.jpg;nvb estas con las letras de mi matricula
8526bir;chevrolet;aveo;6671.42;63.86;burgos;sedan;378669;2020-08-09;158;14 meses;5 puertas;manual;coche/cochenaranja.jpg;bir estas con las letras de mi matricula
9206nco;fiat;500;6447.35;70.31;salamanca;descapotable;36673;1994-02-26;164;6 meses;2 puertas;automatico;coche/cochenegro.jpg;nco estas con las letras de mi matricula
1311yaa;mercedes;vito;4727.93;59.42;ourense;sedan;28718;2014-08-18;161;12 meses;4 puertas;manual;coche/cocherojo.jpg;yaa estas con las letras de mi matricula
0869ijq;honda;cr-v;9980.55;69.93;melilla;descapotable;141034;2005-06-14;50;4 meses;2 puertas;manual;coche/cocherojo.jpg;ijq estas con las letras de mi matricula
1820koj;chevrolet;corvette;453.68;99.97;navarra;sedan;287505;1988-01-18;18;10 meses;4 puertas;manual;coche/cochenaranja.jpg;koj estas con las letras de mi matricula
4699srm;porsche;spyder;3572.33;68.01;ceuta;turismo;157182;1984-05-18;62;10 meses;5 puertas;manual;coche/cocherojo.jpg;srm estas con las letras de mi matricula
9260omt;chevrolet;camaro;2775.55;65.2;barcelona;sedan;6128;1977-05-24;173;14 meses;4 puertas;automatico;coche/cocheturquesa.jpeg;omt estas con las letras de mi matricula
7859vmu;chevrolet;corvette;7044.45;54.63;huelva;turismo;492974;1998-07-10;153;20 meses;2 puertas;manual;coche/cocheturquesa.jpeg;vmu estas con las letras de mi matricula
0753fqx;ford;mondeo;3617.55;11.13;madrid;sedan;307345;1975-08-24;171;28 meses;4 puertas;manual;coche/cocherojo.jpg;fqx estas con las letras de mi matricula
6192lgw;kia;picanto;5242.27;32.2;malaga;turismo;323575;1973-11-10;142;4 meses;2 puertas;automatico;coche/cochemarron.jpg;lgw estas con las letras de mi matricula
2980qxy;honda;cr-v;4458.76;77.6;pontevedra;turismo;4077;2006-12-15;146;4 meses;3 puertas;manual;coche/cochenaranja.jpg;qxy estas con las letras de mi matricula
6771gfk;lexus;ns;8216.55;0.1;salamanca;sedan;285734;2010-09-01;6;14 meses;3 puertas;automatico;coche/cocherojo.jpg;gfk estas con las letras de mi matricula
2813jfv;honda;cr-v;963.1;89.82;alicante;descapotable;145230;2006-06-23;125;22 meses;2 puertas;automatico;coche/cochegranate.jpg;jfv estas con las letras de mi matricula
6555niz;fiat;tipo;8197.22;22.02;la rioja;descapotable;244676;1987-08-21;185;12 meses;4 puertas;automatico;coche/cochemarron.jpg;niz estas con las letras de mi matricula
2465ghn;kia;sorento;373.15;97.14;ourense;turismo;346560;1991-12-18;153;18 meses;3 puertas;automatico;coche/cochegranate.jpg;ghn estas con las letras de mi matricula
8248abl;bmw;serie 5;3378.79;47.3;ciudad real;turismo;407297;2009-05-03;30;20 meses;2 puertas;manual;coche/cochemarron.jpg;abl estas con las letras de mi matricula
2175yqo;land rover;discovery;9927.72;62.38;leon;turismo;437975;2007-08-13;8;30 meses;2 puertas;automatico;coche/cochenaranja.jpg;yqo estas con las letras de mi matricula
6272gdi;audi;a4;7748.09;46.46;islas baleares;turismo;162426;2015-03-06;174;10 meses;2 puertas;manual;coche/cochemarron.jpg;gdi estas con las letras de mi matricula
3932myy;citroen;berlingo;8531.52;69.22;santa cruz de tenerife;turismo;120012;1996-07-23;128;22 meses;5 puertas;automatico;coche/cochegranate.jpg;myy estas con las letras de mi matricula
2055bmy;renault;megane;94.35;59.0;huesca;descapotable;173968;2011-10-16;109;2 meses;2 puertas;automatico;coche/cochenegro.jpg;bmy estas con las letras de mi matricula
7233drs;kia;sorento;183.65;79.27;sevilla;descapotable;121553;1990-10-29;25;28 meses;2 puertas;manual;coche/cocherojo.jpg;drs estas con las letras de mi matricula
2773wwn;land rover;discovery;8277.24;22.37;jaen;turismo;205954;1982-04-12;180;24 meses;3 puertas;manual;coche/cochegranate.jpg;wwn estas con las letras de mi matricula
5590xup;land rover;defender;5276.48;56.13;melilla;descapotable;305551;2016-01-25;56;2 meses;2 puertas;automatico;coche/cochegranate.jpg;xup estas con las letras de mi matricula
0869bmr;audi;q5;4317.68;49.89;navarra;descapotable;227817;2000-01-22;183;30 meses;4 puertas;manual;coche/cochenaranja.jpg;bmr estas con las letras de mi matricula
8792tzv;hyhundai;elantra;8896.79;98.91;alaba;sedan;187376;2004-07-19;51;28 meses;5 puertas;manual;coche/cocherojo.jpg;tzv estas con las letras de mi matricula
5531zat;bmw;serie 5;1783.8;24.66;santa cruz de tenerife;turismo;470090;1988-04-09;18;22 meses;2 puertas;automatico;coche/cocherojo.jpg;zat estas con las letras de mi matricula
1505ghn;audi;a6;7771.97;96.92;a coruna;descapotable;445145;2007-12-22;146;30 meses;4 puertas;automatico;coche/cochenaranja.jpg;ghn estas con las letras de mi matricula
8232nul;chevrolet;cruze;2003.93;52.24;badajoz;sedan;458587;1990-03-27;179;2 meses;4 puertas;manual;coche/cochenaranja.jpg;nul estas con las letras de mi matricula
3482gfz;ford;custom;3081.74;56.98;zamora;descapotable;139173;1981-02-08;79;14 meses;5 puertas;manual;coche/cocheturquesa.jpeg;gfz estas con las letras de mi matricula
1946eho;mercedes;clase a;2814.59;92.12;las palmas;sedan;238777;1973-08-05;57;18 meses;4 puertas;manual;coche/cochenaranja.jpg;eho estas con las letras de mi matricula
5408rol;fiat;doblo;6995.1;65.44;sevilla;turismo;280832;1985-12-09;65;4 meses;5 puertas;manual;coche/cochenegro.jpg;rol estas con las letras de mi matricula
5564fla;kia;sorento;638.17;3.17;caceres;descapotable;371280;1978-05-20;45;6 meses;4 puertas;manual;coche/cochegranate.jpg;fla estas con las letras de mi matricula
